director_id,name
119,Akhil Paul
120,Akihiko Yamashita
121,Akin Omotoso
122,Akira Saitoh
123,Akiva Goldsman
124,Akiva Schaffer
125,Akiyuki Shinbo
126,Akram Farouk
127,Akshay Akkineni
128,Akshay Sanjeev Chavan
129,Akshay Shankar
130,Al Campbell
131,Alaa Eddine Aljem
132,Alain Brunard
133,Alain Darborg
134,Alain Desrochers
135,Alain Gagnol
136,Alan Alda
137,Alan Hicks
138,Alan J. Pakula
139,Alan Mak
140,Alan Parker
141,Alan Poul
142,Alan Rickman
143,Alan Yang
144,Alana Waksman
145,Alankrita Shrivastava
146,Alastair Fothergill
147,Alban Teurlai
148,Albert Hughes
149,Albert Sharpe
150,Alberto Arnaut Estrada
151,Alberto Rodríguez
152,Alejandra Márquez Abella
153,Alejandro Agresti
154,Alejandro De Grazia
155,Alejandro Doria
156,Alejandro Fernández Almendras
157,Alejandro G. Iñárritu
158,Alejandro Hartmann
159,Alejandro Lozano
160,Alejandro Martinez-Beltran
161,Alejandro Montiel
162,Alejandro Ruax
163,Aleksey German
164,Aleksey Tsitsilin
165,Alessandra de Rossi
166,Alessandro Angulo
167,Alessandro Pepe
168,Alessio Cremonini
169,Alethea Jones
170,Alex Brewer
171,Alex Burunova
172,Alex Coletti
173,Alex Díaz
174,Alex Garland
175,Alex Gibney
176,Alex Holmes
177,Alex Infascelli
178,Alex Israel
179,Alex Law
180,Alex Lehmann
181,Alex Merkin
182,Alex Parkinson
183,Alex Proyas
184,Alex Ranarivelo
185,Alex Richanbach
186,Alex Smith
187,Alex Stapleton
188,Alex Timbers
189,Alex Winter
190,Alex Woo
191,Alex Zamm
192,Alexander Smith
193,Alexandra Dean
194,Alexandre Aja
195,Alexandre Avancini
196,Alexandre Espigares
197,Alexandre Heboyan
198,Alexandre Reinecke
199,Alexandros Avranas
200,Alexis Almström
201,Alexis Morante
202,Alexx Media
203,Alfons Adetuyi
204,Alfonso Arau
205,Alfonso Cortés-Cavanillas
206,Alfonso Cuarón
207,Alfonso Rodríguez
208,Alfonso Serrano Maturino
209,Alfred Gimeno
210,Ali Bin Matar
211,Ali F. Mostafa
212,Ali Kalthami
213,Ali Ragab
214,Ali Samadi Ahadi
215,Ali Scher
216,Ali Tabrizi
217,Ali Taner Baltacı
218,Ali Yorgancıoğlu
219,Alice Filippi
220,Alice Mathias
221,Alice Rohrwacher
222,Alice Waddington
223,Alice Wu
224,Alicky Sussman
225,Alik Sakharov
226,Alina Teodorescu
227,Alison E. Rose
228,Alison Klayman
229,Alison MacLean
230,Alistair Legrand
231,Alka Amarkant Dubey
232,Allan Jacobsen
233,Allan Ungar
234,Allen Coulter
235,Allen Hughes
236,Ally Pankiw
237,Alma Har'el
238,Almudena Carracedo
239,Almunsif Alsuwaisi
240,Alo Sarkar
241,Alphonso J. Wesson
242,Alê Abreu
243,Amaan Khan
244,Amal Neerad
245,Amalie Næsby Fick
246,Amanda Micheli
247,Amanda Raymond
248,Amandha Wyanto
249,Amar Gupte
250,Amar Kaushik
251,Amara Cash
252,Amardeep Singh Gill
253,Amarjit Virdi
254,Amarpreet G S Chabbra
255,Amber Tamblyn
256,Amin Dora
257,Amir Galvan Cervera
258,Amir Mohiuddin
259,Amit Barot
260,Amit Rai
261,Amit Roy
262,Amit Saxena
263,Amitabha Singh
264,Amitava Bhattacharya
265,Amitoj Mann
266,Amman Abbasi
267,Amol Palekar
268,Amr Arafa
269,Amr Salama
270,Amro Salah
271,Amshan Kumar
272,Amy Poehler
273,Amy Rice
274,Amy Schumer
275,Amy Segal
276,Ana Kokkinos
277,Ana Lily Amirpour
278,Ana Quiroga
279,Anand Kamalakar
280,Anand Ravichandran
281,Anand Tiwari
282,Anand Tucker
283,Ananda Krishnan
284,Anant Balani
285,Ananth Narayan Mahadevan
286,Anas Khan
287,Anatole Litvak
288,Andaç Haznedaroğlu
289,Anders Falck
290,Anders Sømme Hammer
291,Andibachtiar Yusuf
292,Andrea Arnold
293,Andrea Molaioli
294,Andreas Johnsen
295,Andreas Pichler
296,Andreas Prochaska
297,Andres Clariond
298,Andrew Bergman
299,Andrew Bujalski
300,Andrew C. Erin
301,Andrew Davis
302,Andrew Dean
303,Andrew Dominik
304,Andrew Douglas
305,Andrew Duncan
306,Andrew Fleming
307,Andrew Goth
308,Andrew J. Smith
309,Andrew Jenks
310,Andrew L. Schmidt
311,Andrew Lau Wai-Keung
312,Andrew Lau Wai-keung
313,Andrew Loo
314,Andrew Meier
315,Andrew Mogel
316,Andrew Nackman
317,Andrew Niccol
318,Andrew Renzi
319,Andrew Sandler
320,Andrew Slater
321,Andrew Stanton
322,Andrew Sullivan
323,Andrew Tan
324,Andrew Wessels
325,Andrucha Waddington
326,Andrzej Bartkowiak
327,André D'Elia
328,André Odendaal
329,André Øvredal
330,Andrés Beltrán
331,Andrés Couturier
332,Andrés Feddersen
333,Andy Caballero
334,Andy Capper
335,Andy Devonshire
336,Andy Fickman
337,Andy Goddard
338,Andy Serkis
339,Andy Tennant
340,Anees Bazmee
341,Ang Lee
342,Ange Basterga
343,Angel Kristi Williams
344,Angelika Sigl
345,Angelina Jolie
